what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288974308733
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288974309709
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974397484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974414825
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974450283
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974451992
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974453194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974453654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974454266
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974454955
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974455758
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974456265
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1288974464297
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1288974464845
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1288974464950
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1288974466117
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1288974466472
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288974466651
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1288974468409
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1288974468545
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1288974468561
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1288974468597
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1288974468634
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288974468839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974499241
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974500440
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288974500947
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288974534257
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288974534351
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288974546316
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288974546318
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1288974546368
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288974550199
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288974550201
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288974570164
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288974570224
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288974593752
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1288974594511
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.exit",1288974594637
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1288974594803
