what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494081232
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494081292
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1295494081323
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494086803
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494086851
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494086852
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1295494088241
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494099939
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1295494122654
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494129090
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494129136
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494131214
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494131214
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1295494149822
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1295494149882
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494152730
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1295494187128
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.format",1295494189919
error,log,,,"Unhandled event loop exception",1295494197574
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1295494204401
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494206015
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1295494208062
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494226163
error,log,,,"Unhandled event loop exception",1295494226167
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494229715
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494230784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494231354
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494384918
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494387271
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494388303
error,log,,,"Unhandled event loop exception",1295494388326
error,log,,,"Unhandled event loop exception",1295494402919
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1295494417771
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494437322
error,log,,,"Unhandled event loop exception",1295494437326
error,log,,,"Unhandled event loop exception",1295494440025
error,log,,,"Unhandled event loop exception",1295494442551
error,log,,,"Unhandled event loop exception",1295494445432
error,log,,,"Unhandled event loop exception",1295494446221
error,log,,,"Unhandled event loop exception",1295494446708
error,log,,,"Unhandled event loop exception",1295494449796
error,log,,,"Unhandled event loop exception",1295494449989
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494464745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494465820
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494466576
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494477432
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494479240
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494479327
error,log,,,"Unhandled event loop exception",1295494479970
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1295494485597
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494488292
error,log,,,"Unhandled event loop exception",1295494497941
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1295494500277
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494516897
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494518417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494793501
error,log,,,"Unhandled event loop exception",1295494794118
error,log,,,"Unhandled event loop exception",1295494810798
error,log,,,"Unhandled event loop exception",1295494824031
error,log,,,"Unhandled event loop exception",1295494835452
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1295494842942
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494850688
error,log,,,"Unhandled event loop exception",1295494882888
error,log,,,"Unhandled event loop exception",1295494883114
error,log,,,"Unhandled event loop exception",1295494883578
error,log,,,"Unhandled event loop exception",1295494883760
error,log,,,"Unhandled event loop exception",1295494885271
error,log,,,"Unhandled event loop exception",1295494885457
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494906924
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494907993
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494908115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295494933537
error,log,,,"Unhandled event loop exception",1295494939172
error,log,,,"Unhandled event loop exception",1295494939346
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1295494947069
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295494954717
error,log,,,"Unhandled event loop exception",1295494954725
error,log,,,"Unhandled event loop exception",1295494958268
error,log,,,"Unhandled event loop exception",1295494982825
error,log,,,"Unhandled event loop exception",1295495034038
error,log,,,"Unhandled event loop exception",1295495034237
error,log,,,"Unhandled event loop exception",1295495034472
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1295495035575
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1295495049468
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1295495052758
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295495068297
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295495069352
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295495079128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295495093551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295495117539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295495235437
error,log,,,"Unhandled event loop exception",1295495236345
error,log,,,"Unhandled event loop exception",1295495238877
error,log,,,"Unhandled event loop exception",1295495239042
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1295495240251
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295495241997
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295495247165
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295495251375
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295495253397
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.exit",1295495254284
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1295495254355
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1295495254355
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1295495254356
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1295495254357
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1295495254390
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1295495254393
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1295495254394
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1295495254394
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1295495254394
