what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291254155782
error,log,,,"Unable to get CElement for Macro",1291254159308
error,log,,,"Unable to get CElement for Macro",1291254159310
error,log,,,"Unable to get CElement for Macro",1291254159311
error,log,,,"Unable to get CElement for Macro",1291254159313
error,log,,,"Unable to get CElement for Macro",1291254159314
error,log,,,"Unable to get CElement for Macro",1291254159315
error,log,,,"Unable to get CElement for Macro",1291254159316
error,log,,,"Unable to get CElement for Macro",1291254159317
error,log,,,"Unable to get CElement for Macro",1291254159318
error,log,,,"Unable to get CElement for Macro",1291254159318
error,log,,,"Unable to get CElement for Macro",1291254159319
error,log,,,"Unable to get CElement for Macro",1291254159320
error,log,,,"Unable to get CElement for Macro",1291254159321
error,log,,,"Unable to get CElement for Macro",1291254159322
error,log,,,"Unable to get CElement for Macro",1291254159323
error,log,,,"Unable to get CElement for Macro",1291254159324
error,log,,,"Unable to get CElement for Macro",1291254159325
error,log,,,"Unable to get CElement for Macro",1291254159326
error,log,,,"Unable to get CElement for Macro",1291254159327
error,log,,,"Unable to get CElement for Macro",1291254159328
error,log,,,"Unable to get CElement for Macro",1291254159329
error,log,,,"Unable to get CElement for Macro",1291254159330
error,log,,,"Unable to get CElement for Macro",1291254159331
error,log,,,"Unable to get CElement for Macro",1291254159332
error,log,,,"Unable to get CElement for Macro",1291254159333
error,log,,,"Unable to get CElement for Macro",1291254159333
error,log,,,"Unable to get CElement for Macro",1291254159334
error,log,,,"Unable to get CElement for Macro",1291254159335
error,log,,,"Unable to get CElement for Macro",1291254159336
error,log,,,"Unable to get CElement for Macro",1291254159337
error,log,,,"Unable to get CElement for Macro",1291254159337
error,log,,,"Unable to get CElement for Macro",1291254159338
error,log,,,"Unable to get CElement for Macro",1291254159339
error,log,,,"Unable to get CElement for Macro",1291254159339
error,log,,,"Unable to get CElement for Macro",1291254159340
error,log,,,"Unable to get CElement for Macro",1291254159341
error,log,,,"Unable to get CElement for Macro",1291254159343
error,log,,,"Unable to get CElement for Macro",1291254159345
error,log,,,"Unable to get CElement for Macro",1291254159345
error,log,,,"Unable to get CElement for Macro",1291254159346
error,log,,,"Unable to get CElement for Macro",1291254159347
error,log,,,"Unable to get CElement for Macro",1291254159348
error,log,,,"Unable to get CElement for Macro",1291254159348
error,log,,,"Unable to get CElement for Macro",1291254159349
error,log,,,"Unable to get CElement for Macro",1291254159350
error,log,,,"Unable to get CElement for Macro",1291254159350
error,log,,,"Unable to get CElement for Macro",1291254159351
error,log,,,"Unable to get CElement for Macro",1291254159352
error,log,,,"Unable to get CElement for Macro",1291254159353
error,log,,,"Unable to get CElement for Macro",1291254159354
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291254159387
error,log,,,"Unable to get CElement for Macro",1291254168624
error,log,,,"Unable to get CElement for Macro",1291254168625
error,log,,,"Unable to get CElement for Macro",1291254168625
error,log,,,"Unable to get CElement for Macro",1291254168626
error,log,,,"Unable to get CElement for Macro",1291254168627
error,log,,,"Unable to get CElement for Macro",1291254168628
error,log,,,"Unable to get CElement for Macro",1291254168628
error,log,,,"Unable to get CElement for Macro",1291254168629
error,log,,,"Unable to get CElement for Macro",1291254168630
error,log,,,"Unable to get CElement for Macro",1291254168630
error,log,,,"Unable to get CElement for Macro",1291254168631
error,log,,,"Unable to get CElement for Macro",1291254168632
error,log,,,"Unable to get CElement for Macro",1291254168632
error,log,,,"Unable to get CElement for Macro",1291254168633
error,log,,,"Unable to get CElement for Macro",1291254168634
error,log,,,"Unable to get CElement for Macro",1291254168634
error,log,,,"Unable to get CElement for Macro",1291254168635
error,log,,,"Unable to get CElement for Macro",1291254168636
error,log,,,"Unable to get CElement for Macro",1291254168637
error,log,,,"Unable to get CElement for Macro",1291254168637
error,log,,,"Unable to get CElement for Macro",1291254168638
error,log,,,"Unable to get CElement for Macro",1291254168639
error,log,,,"Unable to get CElement for Macro",1291254168639
error,log,,,"Unable to get CElement for Macro",1291254168640
error,log,,,"Unable to get CElement for Macro",1291254168641
error,log,,,"Unable to get CElement for Macro",1291254168642
error,log,,,"Unable to get CElement for Macro",1291254168642
error,log,,,"Unable to get CElement for Macro",1291254168643
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1291254168681
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1291254174219
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1291254186647
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1291254191911
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291254193405
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1291254194523
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291254196952
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291254197392
error,log,,,"Unable to get CElement for Macro",1291254201682
error,log,,,"Unable to get CElement for Macro",1291254201683
